lsoa,imd_score
E01000001,8.742
E01000002,4.722
E01000003,9.25
E01000005,19.884
E01000006,25.307
E01000007,37.217
E01000008,40.726
E01000009,39.153
E01000011,36.767
E01000012,37.53
E01000013,31.914
E01000014,28.117
E01000015,30.328
E01000016,26.475
E01000017,31.808
E01000018,29.964
E01000019,30.661
E01000020,30.021
E01000021,37.877
E01000022,30.488
E01000024,29.683
E01000025,29.84
E01000027,33.245
E01000028,35.4
E01000029,19.077
E01000030,34.554
E01000031,21.003
E01000032,26.712
E01000033,33.537
E01000034,28.583
E01000035,29.504
E01000036,25.385
E01000037,17.76
E01000038,17.612
E01000039,17.12
E01000040,37.802
E01000041,26.175
E01000042,39.355
E01000043,27.454
E01000044,31.558
E01000045,34.446
E01000046,27.678
E01000049,36.991
E01000050,30.806
E01000051,31.542
E01000052,34.895
E01000053,33.471
E01000054,28.481
E01000055,28.667
E01000056,39.902
E01000057,28.873
E01000058,29.526
E01000059,27.068
E01000060,32.786
E01000061,55.406
E01000062,26.18
E01000063,25.377
E01000064,31.351
E01000065,35.962
E01000066,21.257
E01000067,24.431
E01000068,23.118
E01000069,15.416
E01000070,22.241
E01000071,21.718
E01000072,36.794
E01000073,30.53
E01000074,29.284
E01000075,26.014
E01000076,29.935
E01000077,33.764
E01000078,32.5
E01000079,27.809
E01000080,27.365
E01000081,24.864
E01000082,29.663
E01000083,33.329
E01000084,33.774
E01000085,36.282
E01000086,33.161
E01000087,32.659
E01000088,27.226
E01000089,30.349
E01000090,28.866
E01000091,39.772
E01000093,42.301
E01000094,23.658
E01000095,33.176
E01000096,33.845
E01000097,31.971
E01000098,36.217
E01000099,23.773
E01000100,26.926
E01000101,33.901
E01000102,33.452
E01000103,26.062
E01000104,34.071
E01000105,40.539
E01000106,44.075
E01000107,22.908
E01000108,27.991
E01000110,18.236
E01000111,27.63
E01000112,25.208
E01000113,29
E01000114,27.162
E01000115,5.318
E01000116,9.499
E01000117,9.751
E01000118,11.25
E01000119,8.049
E01000120,5.985
E01000121,30.044
E01000122,8.957
E01000123,15.388
E01000124,23.855
E01000126,35.216
E01000127,30.453
E01000128,28.639
E01000129,43.653
E01000130,27.891
E01000131,23.659
E01000132,30.633
E01000133,30.983
E01000134,26.681
E01000135,11.517
E01000136,9.546
E01000137,30.731
E01000138,30.386
E01000139,17.015
E01000140,16.978
E01000141,41.647
E01000142,27.24
E01000143,32.352
E01000144,24.599
E01000145,23.062
E01000146,26.44
E01000147,20.409
E01000150,25.077
E01000151,50.246
E01000152,19.977
E01000153,34.894
E01000154,30.426
E01000156,11.691
E01000157,17.521
E01000158,18.054
E01000159,14.601
E01000160,17.019
E01000161,23.583
E01000162,19.605
E01000163,33.304
E01000164,34.691
E01000165,16.834
E01000166,18.166
E01000167,28.935
E01000168,5.752
E01000169,14.013
E01000170,21.318
E01000171,33.766
E01000172,8.821
E01000173,11.98
E01000174,24.64
E01000175,7.4
E01000176,30.19
E01000177,12.47
E01000178,12.961
E01000179,12.083
E01000180,21.066
E01000181,10.629
E01000182,10.274
E01000183,10.223
E01000184,32.657
E01000185,30.958
E01000186,8.324
E01000187,21.414
E01000188,14.579
E01000189,25.492
E01000190,12.655
E01000191,14.84
E01000192,25.219
E01000193,27.234
E01000194,34.324
E01000195,36.298
E01000196,21.54
E01000197,17.502
E01000198,17.001
E01000199,10.292
E01000200,13.711
E01000201,5.308
E01000202,11.139
E01000203,25.902
E01000204,12.658
E01000205,9.471
E01000206,7.996
E01000207,11.331
E01000208,9.982
E01000209,8.977
E01000210,12.425
E01000211,26.085
E01000212,14.806
E01000213,8.472
E01000214,10.932
E01000215,26.849
E01000216,20.171
E01000217,21.179
E01000218,26.607
E01000219,31.669
E01000220,28.945
E01000221,41.818
E01000222,27.589
E01000223,36.995
E01000224,28.876
E01000225,18.482
E01000226,34.528
E01000227,11.235
E01000228,16.53
E01000229,29.326
E01000230,17.975
E01000231,23.261
E01000232,18.122
E01000233,11.455
E01000234,14.545
E01000235,23.981
E01000236,24.742
E01000237,21.816
E01000238,21.394
E01000239,25.959
E01000240,26.033
