lsoa21cd,MSOA21CD,MSOA21NM,Lower.layer.Super.Output.Areas,dep_child_category,Dependent.children.in.household.and.their.age..B...6.categories.,Household.type..6.categories..Code,Household.type..6.categories.,Observation,total_number_of_households,eligible,share_of_eligible
E01011279,E02002337,Leeds 008,Leeds 008C,-8,Does not apply,-8,Does not apply,0,578,93,16.089965397923876
E01011280,E02002337,Leeds 008,Leeds 008D,-8,Does not apply,-8,Does not apply,0,845,182,21.53846153846154
E01011270,E02002337,Leeds 008,Leeds 008B,-8,Does not apply,-8,Does not apply,0,679,115,16.936671575846834
E01011267,E02002338,Leeds 009,Leeds 009B,-8,Does not apply,-8,Does not apply,0,725,141,19.448275862068964
E01011265,E02002338,Leeds 009,Leeds 009A,-8,Does not apply,-8,Does not apply,0,910,150,16.483516483516482
E01011264,E02002340,Leeds 011,Leeds 011A,-8,Does not apply,-8,Does not apply,0,570,66,11.578947368421053
E01011268,E02002339,Leeds 010,Leeds 010A,-8,Does not apply,-8,Does not apply,0,629,118,18.75993640699523
E01011269,E02002340,Leeds 011,Leeds 011B,-8,Does not apply,-8,Does not apply,0,762,104,13.648293963254593
E01011266,E02002337,Leeds 008,Leeds 008A,-8,Does not apply,-8,Does not apply,0,1142,200,17.513134851138354
E01011271,E02002338,Leeds 009,Leeds 009C,-8,Does not apply,-8,Does not apply,0,894,165,18.456375838926174
E01011273,E02002339,Leeds 010,Leeds 010B,-8,Does not apply,-8,Does not apply,0,722,108,14.958448753462603
E01011272,E02002338,Leeds 009,Leeds 009D,-8,Does not apply,-8,Does not apply,0,566,97,17.137809187279153
E01011274,E02002339,Leeds 010,Leeds 010C,-8,Does not apply,-8,Does not apply,0,666,107,16.066066066066067
E01011275,E02002339,Leeds 010,Leeds 010D,-8,Does not apply,-8,Does not apply,0,611,130,21.27659574468085
E01011276,E02002340,Leeds 011,Leeds 011C,-8,Does not apply,-8,Does not apply,0,793,128,16.14123581336696
E01011277,E02002343,Leeds 014,Leeds 014A,-8,Does not apply,-8,Does not apply,0,641,141,21.996879875195006
E01032499,E02002396,Leeds 067,Leeds 067G,-8,Does not apply,-8,Does not apply,0,702,98,13.96011396011396
E01011304,E02002418,Leeds 089,Leeds 089C,-8,Does not apply,-8,Does not apply,0,701,116,16.547788873038517
E01011278,E02002343,Leeds 014,Leeds 014B,-8,Does not apply,-8,Does not apply,0,737,107,14.51831750339213
E01011306,E02002418,Leeds 089,Leeds 089E,-8,Does not apply,-8,Does not apply,0,543,96,17.679558011049725
E01011305,E02002418,Leeds 089,Leeds 089D,-8,Does not apply,-8,Does not apply,0,651,110,16.897081413210447
E01011300,E02002418,Leeds 089,Leeds 089A,-8,Does not apply,-8,Does not apply,0,620,117,18.870967741935484
E01011309,E02002359,Leeds 030,Leeds 030C,-8,Does not apply,-8,Does not apply,0,663,102,15.384615384615385
E01011297,E02002359,Leeds 030,Leeds 030B,-8,Does not apply,-8,Does not apply,0,704,140,19.886363636363637
E01011296,E02002359,Leeds 030,Leeds 030A,-8,Does not apply,-8,Does not apply,0,775,95,12.258064516129032
E01011299,E02002417,Leeds 088,Leeds 088B,-8,Does not apply,-8,Does not apply,0,1166,299,25.643224699828473
E01011298,E02002417,Leeds 088,Leeds 088A,-8,Does not apply,-8,Does not apply,0,705,128,18.156028368794328
E01011311,E02002351,Leeds 022,Leeds 022A,-8,Does not apply,-8,Does not apply,0,484,94,19.421487603305785
E01011310,E02002359,Leeds 030,Leeds 030D,-8,Does not apply,-8,Does not apply,0,731,110,15.047879616963064
E01011308,E02002432,Leeds 103,Leeds 103B,-8,Does not apply,-8,Does not apply,0,658,111,16.869300911854104
E01011307,E02002432,Leeds 103,Leeds 103A,-8,Does not apply,-8,Does not apply,0,652,110,16.87116564417178
E01011283,E02002388,Leeds 059,Leeds 059C,-8,Does not apply,-8,Does not apply,0,634,194,30.599369085173503
E01032606,E02002396,Leeds 067,Leeds 067I,-8,Does not apply,-8,Does not apply,0,922,199,21.58351409978308
E01032500,E02002396,Leeds 067,Leeds 067H,-8,Does not apply,-8,Does not apply,0,635,109,17.165354330708663
E01032607,E02002396,Leeds 067,Leeds 067J,-8,Does not apply,-8,Does not apply,0,647,69,10.664605873261205
E01011294,E02002400,Leeds 071,Leeds 071D,-8,Does not apply,-8,Does not apply,0,490,108,22.040816326530614
E01011295,E02002388,Leeds 059,Leeds 059E,-8,Does not apply,-8,Does not apply,0,747,183,24.497991967871485
E01011281,E02002388,Leeds 059,Leeds 059A,-8,Does not apply,-8,Does not apply,0,901,190,21.08768035516093
E01011282,E02002388,Leeds 059,Leeds 059B,-8,Does not apply,-8,Does not apply,0,617,128,20.74554294975689
E01011286,E02002388,Leeds 059,Leeds 059D,-8,Does not apply,-8,Does not apply,0,586,107,18.25938566552901
E01011287,E02002396,Leeds 067,Leeds 067B,-8,Does not apply,-8,Does not apply,0,657,130,19.7869101978691
E01011284,E02002400,Leeds 071,Leeds 071A,-8,Does not apply,-8,Does not apply,0,1090,228,20.91743119266055
E01032608,E02002396,Leeds 067,Leeds 067K,-8,Does not apply,-8,Does not apply,0,515,69,13.398058252427184
E01011292,E02002400,Leeds 071,Leeds 071B,-8,Does not apply,-8,Does not apply,0,961,182,18.93860561914672
E01011293,E02002400,Leeds 071,Leeds 071C,-8,Does not apply,-8,Does not apply,0,848,185,21.816037735849058
E01011303,E02002417,Leeds 088,Leeds 088D,-8,Does not apply,-8,Does not apply,0,495,82,16.565656565656564
E01011301,E02002418,Leeds 089,Leeds 089B,-8,Does not apply,-8,Does not apply,0,558,78,13.978494623655914
E01011302,E02002417,Leeds 088,Leeds 088C,-8,Does not apply,-8,Does not apply,0,779,122,15.661103979460847
E01011320,E02002420,Leeds 091,Leeds 091D,-8,Does not apply,-8,Does not apply,0,689,159,23.076923076923077
E01011318,E02002419,Leeds 090,Leeds 090C,-8,Does not apply,-8,Does not apply,0,640,188,29.375
E01011317,E02002419,Leeds 090,Leeds 090B,-8,Does not apply,-8,Does not apply,0,886,174,19.63882618510158
E01011319,E02002420,Leeds 091,Leeds 091C,-8,Does not apply,-8,Does not apply,0,613,149,24.306688417618272
E01011337,E02002387,Leeds 058,Leeds 058D,-8,Does not apply,-8,Does not apply,0,568,200,35.2112676056338
E01011336,E02002387,Leeds 058,Leeds 058C,-8,Does not apply,-8,Does not apply,0,825,105,12.727272727272727
E01011335,E02002381,Leeds 052,Leeds 052C,-8,Does not apply,-8,Does not apply,0,818,153,18.704156479217605
E01011325,E02002375,Leeds 046,Leeds 046B,-8,Does not apply,-8,Does not apply,0,750,147,19.6
E01011326,E02002375,Leeds 046,Leeds 046C,-8,Does not apply,-8,Does not apply,0,626,142,22.68370607028754
E01011329,E02002380,Leeds 051,Leeds 051B,-8,Does not apply,-8,Does not apply,0,698,91,13.037249283667622
E01011323,E02002380,Leeds 051,Leeds 051A,-8,Does not apply,-8,Does not apply,0,615,92,14.959349593495935
E01011332,E02002375,Leeds 046,Leeds 046D,-8,Does not apply,-8,Does not apply,0,692,168,24.277456647398843
E01011328,E02002381,Leeds 052,Leeds 052B,-8,Does not apply,-8,Does not apply,0,707,138,19.51909476661952
E01011331,E02002387,Leeds 058,Leeds 058A,-8,Does not apply,-8,Does not apply,0,631,93,14.73851030110935
E01011334,E02002387,Leeds 058,Leeds 058B,-8,Does not apply,-8,Does not apply,0,689,88,12.772133526850508
E01011330,E02002380,Leeds 051,Leeds 051C,-8,Does not apply,-8,Does not apply,0,584,100,17.123287671232877
E01011327,E02002381,Leeds 052,Leeds 052A,-8,Does not apply,-8,Does not apply,0,655,116,17.709923664122137
E01011324,E02002375,Leeds 046,Leeds 046A,-8,Does not apply,-8,Does not apply,0,551,160,29.038112522686024
E01011353,E02002363,Leeds 034,Leeds 034D,-8,Does not apply,-8,Does not apply,0,848,141,16.62735849056604
E01011356,E02002371,Leeds 042,Leeds 042A,-8,Does not apply,-8,Does not apply,0,940,119,12.659574468085106
E01011358,E02002371,Leeds 042,Leeds 042B,-8,Does not apply,-8,Does not apply,0,719,121,16.82892906815021
E01011357,E02002367,Leeds 038,Leeds 038C,-8,Does not apply,-8,Does not apply,0,909,166,18.26182618261826
E01011361,E02002371,Leeds 042,Leeds 042E,-8,Does not apply,-8,Does not apply,0,1142,244,21.36602451838879
E01011350,E02002363,Leeds 034,Leeds 034A,-8,Does not apply,-8,Does not apply,0,676,103,15.236686390532544
E01011354,E02002367,Leeds 038,Leeds 038A,-8,Does not apply,-8,Does not apply,0,654,177,27.06422018348624
E01011359,E02002371,Leeds 042,Leeds 042C,-8,Does not apply,-8,Does not apply,0,833,149,17.88715486194478
E01011360,E02002371,Leeds 042,Leeds 042D,-8,Does not apply,-8,Does not apply,0,753,201,26.693227091633467
E01011351,E02002363,Leeds 034,Leeds 034B,-8,Does not apply,-8,Does not apply,0,906,98,10.816777041942604
E01011352,E02002363,Leeds 034,Leeds 034C,-8,Does not apply,-8,Does not apply,0,962,81,8.41995841995842
E01011355,E02002367,Leeds 038,Leeds 038B,-8,Does not apply,-8,Does not apply,0,610,123,20.16393442622951
E01011362,E02002410,Leeds 081,Leeds 081A,-8,Does not apply,-8,Does not apply,0,1032,169,16.375968992248062
E01011343,E02002390,Leeds 061,Leeds 061B,-8,Does not apply,-8,Does not apply,0,936,168,17.94871794871795
E01011379,E02002346,Leeds 017,Leeds 017A,-8,Does not apply,-8,Does not apply,0,762,151,19.816272965879264
E01011371,E02002414,Leeds 085,Leeds 085B,-8,Does not apply,-8,Does not apply,0,751,160,21.30492676431425
E01011363,E02002400,Leeds 071,Leeds 071E,-8,Does not apply,-8,Does not apply,0,860,209,24.302325581395348
E01011366,E02002411,Leeds 082,Leeds 082A,-8,Does not apply,-8,Does not apply,0,788,187,23.730964467005077
E01033013,E02002411,Leeds 082,Leeds 082E,-8,Does not apply,-8,Does not apply,0,718,109,15.181058495821727
E01011368,E02002411,Leeds 082,Leeds 082C,-8,Does not apply,-8,Does not apply,0,722,183,25.346260387811633
E01011364,E02002414,Leeds 085,Leeds 085A,-8,Does not apply,-8,Does not apply,0,875,194,22.17142857142857
E01011376,E02002342,Leeds 013,Leeds 013A,-8,Does not apply,-8,Does not apply,0,680,122,17.941176470588236
E01011381,E02002345,Leeds 016,Leeds 016B,-8,Does not apply,-8,Does not apply,0,565,104,18.4070796460177
E01011378,E02002342,Leeds 013,Leeds 013C,-8,Does not apply,-8,Does not apply,0,704,110,15.625
E01011384,E02002346,Leeds 017,Leeds 017B,-8,Does not apply,-8,Does not apply,0,663,117,17.647058823529413
E01011380,E02002345,Leeds 016,Leeds 016A,-8,Does not apply,-8,Does not apply,0,675,116,17.185185185185187
E01011386,E02002345,Leeds 016,Leeds 016D,-8,Does not apply,-8,Does not apply,0,745,148,19.86577181208054
E01011382,E02002342,Leeds 013,Leeds 013D,-8,Does not apply,-8,Does not apply,0,747,125,16.733601070950467
